[2026-07-14T17:18:20.117Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-14T17:18:20.122Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-14T17:18:20.123Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-14T17:18:20.125Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-14T17:18:20.126Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-14T17:18:20.127Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-14T17:18:20.131Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-14T17:18:20.132Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-14T17:18:20.135Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-14T17:18:20.141Z] [INFO] Daemon started (PID: 11332, CPUs: 16, workers: 7, maxCpuLoad: 12.8, minFreeMemoryPercent: 10%)
[2026-07-14T17:18:20.147Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T17:18:20.153Z] [INFO] Worker map completed in 10ms
[2026-07-14T17:20:20.135Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T17:20:20.140Z] [INFO] Worker audit completed in 9ms
[2026-07-14T17:22:20.152Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T17:22:20.158Z] [INFO] Worker optimize completed in 17ms
[2026-07-14T17:24:20.138Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-14T17:24:20.141Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-14T17:24:20.146Z] [INFO] Worker consolidate completed in 13ms
[2026-07-14T17:26:20.197Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-14T17:26:20.203Z] [INFO] Worker testgaps completed in 62ms
[2026-07-14T17:28:20.159Z] [INFO] Starting worker: backup (1/2 concurrent)
[2026-07-14T17:28:20.164Z] [INFO] Worker backup completed in 11ms
[2026-07-14T17:30:20.186Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-07-14T17:30:20.245Z] [INFO] Worker harness completed in 69ms
[2026-07-14T17:30:20.258Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T17:30:20.263Z] [INFO] Worker audit completed in 10ms
[2026-07-14T17:33:20.185Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T17:33:20.192Z] [INFO] Worker map completed in 25ms
[2026-07-14T17:37:20.187Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T17:37:20.191Z] [INFO] Worker optimize completed in 9ms
[2026-07-14T17:40:20.321Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T17:40:20.325Z] [INFO] Worker audit completed in 12ms
[2026-07-14T17:46:20.249Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-14T17:46:20.267Z] [INFO] Worker testgaps completed in 37ms
